"","Intrinsic","LUI"
"Poa_tri",0.0664107712806268,0.0436449491288855
"Poa_pra",0.0673429920666101,0.0442410026730274
"Alo_pra",0.0615990843413884,0.0397572939289688
"Dac_glo",0.0565993533092003,0.037180305875949
"Tri_rep",0.0644970999111315,0.0423671273006914
"Tar_off",0.055273130288697,0.0363232439243197
"Lol_per",0.0588527880838798,0.0386882486555021
"Arr_ela",0.0561543350325279,0.0367530707415835
"Fes_rub",0.0423889683228471,0.0277859068567074
"Fes_pra",0.048242083812834,0.031354105333454
"Tri_fla",0.0356187740064946,0.0233563349667897
"Ely_rep",0.0416485720215696,0.0273241886179656
"Tri_pra",0.0346248536533434,0.0227575415839223
"Bro_ere",0.0424149146409217,0.0274718508371359
"Ran_rep",0.0296803689741945,0.0194416041707431
"Bro_hor",0.034597151291509,0.022738914965184
"Ran_acr",0.0215852718390742,0.0141467556435914
"Pla_lan",0.0193183320406198,0.012687234377
"Ach_mil",0.0257746158398446,0.0169070656409332
"Gal_mol",0.0199705368667671,0.0131038501783234
"Her_sph",0.0171311132117447,0.0112236275583473
"Ant_syl",0.0193901659918173,0.012743405685783
"Hol_lan",0.0218350118153396,0.0143279716112041
"Hel_pub",0.0268319760411417,0.0176186591510836
"Ant_odo",0.0196430318134445,0.0128889616458118
"Bra_pin",0.0155517119222636,0.0101788750159319
"Car_hir",0.0214139515874917,0.0139779539214278
"Ver_cha",0.0216567147818815,0.0140380384379313
"Rum_ace",0.0120193771406979,0.00786117430427513
"Fes_ovi",0.0159117603907897,0.0104324792590598
"Phl_pra",0.0177021608850167,0.0115940582903395
"Pha_aru",0.0185112541201305,0.0120429364498999
"Des_ces",0.0130968913391767,0.00837630826982989
"Agr_sto",0.0169619177286001,0.0109851627505812
"Cyn_cri",0.0150055450234752,0.00986027452852572
"Cir_ole",0.0129890002499859,0.00851414412187181
"Cer_hol",0.00699829683353196,0.00461178325571046
"Pla_med",0.00955566681278274,0.00625679067932671
"Cre_bie",0.0127611360487011,0.0083275730234419
"Urt_dio",0.0194621942569765,0.012780612290404
"Thy_pul",0.0112663507258764,0.00736059331624344
"Lol_mul",0.023102415880214,0.0151308711081328
"Cir_arv",0.0117034922265973,0.00766651830941852
"Lot_cor",0.00999190540009519,0.0065716083995679
"Ran_bul",0.00727582499936575,0.00476535448469205
"Tri_dub",0.0150367815687039,0.00988328120302817
"Med_lup",0.0124635038302218,0.00820339207343012
"Leo_his",0.0135582737207016,0.00884417745113648
"Car_car",0.00843840821377867,0.00551535222843519
"Vic_sep",0.00572437452210481,0.00374767410308701
"Pru_sp",0.00769854858361094,0.00505281867134977
