"","Intrinsic","SiteH","SiteS","LUI"
"Poa_tri",0.0709650578724035,-0.0297518480479256,0.00291267792204257,-0.00945572186289006
"Poa_pra",-0.0928228839493856,0.0660976871284477,0.0597508296641015,0.0578716055482164
"Alo_pra",0.0498820960701738,-0.0259803359457091,-0.0618325383033133,0.0125570381949871
"Dac_glo",-0.0181232338191247,0.006165682125561,0.0139740029991597,0.0218098949236946
"Tri_rep",-0.0578591541493356,-0.00811309941624025,0.0253603024530409,0.0653836195229384
"Tar_off",-0.0474774484424095,0.0221059345449162,0.016234063720359,0.0287257375624253
"Lol_per",-0.0208283397758152,0.0189591922652291,0.0254584151254243,-0.00062345709225
"Arr_ela",0.0182863026758697,0.0367899566130192,0.0317782509890011,-0.0235944450545446
"Fes_rub",-0.0174059401019975,-0.000341730821523103,0.00448516775356831,0.033424309727616
"Fes_pra",-0.0556126414351437,0.057425145534993,-0.0171431678415357,0.0431182337723087
"Tri_fla",0.00687680580045257,-0.0194930811817554,-0.0316144982816976,0.000887705005248637
"Ely_rep",-0.0214506012125325,0.0132799117924717,0.0213363657766152,-0.00741924267403028
"Tri_pra",0.0387132891223777,-0.00740019384474265,-0.0243793627928809,0.0134369084727314
"Bro_ere",0.122300234049294,-0.0297942209245218,-0.0320426684507628,-0.0467530171478578
"Ran_rep",0.00688939751777201,-0.00786045944438015,-0.00431587153155624,0.00688211990050891
"Bro_hor",-0.0055961672554647,-0.00809406771741243,0.00636897265997755,0.0183958706066082
"Ran_acr",0.0392554549290192,-0.030636933915123,-0.0321961969190098,-0.0107341309791815
"Pla_lan",0.00843528689614605,-0.00203140910275494,0.00932611937189444,0.00582118069880088
"Ach_mil",0.004635401889549,-0.000999182373023281,0.00673526530411701,-0.00577390985650349
"Gal_mol",-0.00988902528220934,-0.00693078358239157,-0.0112347212332037,0.0121092034725228
"Her_sph",0.0179392294957371,-0.00760944399313929,-0.00746858284662162,-0.0133771864660691
"Ant_syl",0.0312887792830401,-0.0134733631959754,-0.0159541079677417,-0.00844986082073809
"Hol_lan",-0.00339413576802509,0.00215520213177968,0.00899238506367945,-0.00377123526234973
"Hel_pub",0.111375268223411,-0.0225022975895063,-0.0221101808482038,-0.0455826172390444
"Ant_odo",0.0115681628818228,-0.00126084831596857,-0.00754043953109675,-0.0107384972885039
"Bra_pin",0.0440929078102557,0.000918916141716165,0.000400249208600471,-0.0210032194886409
"Car_hir",-0.00664049535778567,0.000793882376280578,0.00626005567819377,0.00711922828506993
"Ver_cha",0.0134794314054933,0.000793942364805085,0.0110980966082629,-0.00328172724711626
"Rum_ace",0.0239638497552879,-0.00362522698974134,-0.00185648222209811,-0.0119079405340238
"Fes_ovi",0.0175302902220741,-0.00877990117136097,-0.00374686601232655,-0.00105603328046814
"Phl_pra",0.0455886493845522,0.00230271218751834,-0.000431143103157724,-0.0212184666900982
"Pha_aru",-0.00752995924177678,0.0113519759972233,0.00303423322751029,0.000974111805939358
"Des_ces",0.0139200721873309,-4.34645777498507e-05,0.00742980061792176,-0.00478426515708711
"Agr_sto",0.00532914133623831,0.0046932555382231,0.00977221158636861,0.00596189632713237
"Cyn_cri",-0.00295976920658111,-0.00595819124942598,-0.00668885912199886,0.00382296120625284
"Cir_ole",-0.0115071316427601,-0.00016093316051813,0.000362942303121256,0.00562275408304449
"Cer_hol",-0.00301394571448923,-0.00299354324581421,0.00114288691929917,0.00334159164732265
"Pla_med",0.0042539402366726,-0.00221134538453672,-0.00266694396078132,-0.00130573632829921
"Cre_bie",0.00954412421257986,0.00321279371008204,-0.00276612283436569,-0.00636410157580458
"Urt_dio",0.0145909816683792,0.000780296003373149,0.0022846036996029,-0.00917957737854739
"Thy_pul",0.0376707712091053,-0.00426633679269015,-0.00385737285659749,-0.0143703469495918
"Lol_mul",0.0286889979740897,0.00953423470275196,-0.00187234800241017,-0.0187442869756325
"Cir_arv",-0.00428373607998513,0.000967468959056865,0.0073526577354488,-7.77820726043482e-05
"Lot_cor",0.0293703128203135,0.00023524039916545,0.00421245163338758,-0.0181541345551949
"Ran_bul",-0.00764804602873163,-7.08644848436325e-05,0.00165339483729642,0.00311878442124484
"Tri_dub",0.00510657810360893,-0.00153381831135819,0.000773901199727401,0.000505752492631592
"Med_lup",0.0023514635193065,0.00220054377376573,0.000865752829022022,0.00258181045192674
"Leo_his",0.0495906564693764,0.00671117926750562,0.00384376085324047,-0.0253195585334112
"Car_car",0.00511725282920585,0.000654915859300398,-0.00306201243733634,-0.00529241336492078
"Vic_sep",0.00671999084540661,-0.00374962933689527,-0.00485013790192919,-0.00124187645944551
"Pru_sp",0.0148075931570823,-0.00470596983490653,-0.0035981442459889,-0.000204941261981457
